project_id,company_id,project_name,start_date,completion_date,project_status,automation_type,robots_deployed,budget_usd,annual_savings_usd,roi_percent,department,implementation_partner,country,industry,employee_hours_saved,ai_enabled,cloud_deployment
PRJ-0000012,COMP-0115,Regulatory Reporting Platform,2022-09-20,2023-10-03,In Progress,Robotic Process Automation,52,617735.6,428955.6,69.44,Supply Chain,Deloitte,Singapore,Healthcare,23303,false,false
PRJ-0000013,COMP-0072,Loan Processing Automation,2020-03-06,2021-07-12,In Progress,Digital Process Automation,67,1188052.26,2810337.62,236.55,Supply Chain,EY,Japan,Pharma,5006,false,true
PRJ-0000014,COMP-0033,Master Data Management System,2022-01-06,2024-01-11,Failed,Cognitive Automation,48,646278.56,-309373.55,-47.87,Legal,BCG,Poland,Energy,19132,true,false
PRJ-0000015,COMP-0041,Regulatory Reporting Solution,2023-12-22,2025-12-16,In Progress,AI + RPA,87,644402.23,221223.29,34.33,Operations,EY,Canada,Banking,12555,false,true
PRJ-0000016,COMP-0069,Risk Assessment Automation,2023-11-02,2023-08-01,Planning,AI + RPA,67,946845.54,865700.88,91.43,Human Resources,PwC,Brazil,Healthcare,11658,true,true
PRJ-0000017,COMP-0026,Vendor Management Module,2021-06-26,2022-08-08,Failed,Cognitive Automation,59,1166942.76,-176558.44,-15.13,Marketing,BCG,Germany,Retail,24027,false,false
PRJ-0000018,COMP-0005,Quality Assurance Platform,2022-04-08,2024-02-13,Failed,AI + RPA,46,376326.24,86028.18,22.86,Customer Service,Accenture,Australia,Pharma,12250,true,false
PRJ-0000019,COMP-0165,Customer Service Bot Engine,2023-04-06,2024-06-24,On Hold,Robotic Process Automation,26,1480722.36,2519004.88,170.12,Supply Chain,PwC,Brazil,Technology,5406,true,true
PRJ-0000020,COMP-0006,IT Service Management Framework,2021-11-12,2023-01-15,In Progress,Intelligent Process Automation,81,1825572.54,356534.32,19.53,Marketing,IBM,Netherlands,Banking,13868,true,false
PRJ-0000021,COMP-0107,Tax Filing Tool,2023-05-23,2024-04-27,Completed,Robotic Process Automation,88,1570128.98,3927049.59,250.11,Customer Service,PwC,Netherlands,Logistics,9306,false,true
PRJ-0000022,COMP-0041,Data Migration Platform,2021-06-21,2022-03-10,Completed,Cognitive Automation,6,1419341.96,4130994.77,291.05,Compliance,PwC,Japan,Banking,8018,false,true
PRJ-0000023,COMP-0148,Expense Reporting Bot,2021-08-10,2023-02-12,Completed,AI + RPA,62,1351605.78,2470735.37,182.8,Finance,Tata Consultancy Services,Australia,Energy,21432,true,false
PRJ-0000024,COMP-0137,Customer Service Bot System,2020-11-20,2022-08-11,Failed,Robotic Process Automation,56,1119749.42,-139744.73,-12.48,Compliance,Deloitte,Netherlands,Manufacturing,4298,true,false
PRJ-0000025,COMP-0135,Report Generation Automation,2020-11-27,2021-04-27,In Progress,Cognitive Automation,33,575549.98,2196183.61,381.58,IT,Capgemini,Germany,Logistics,2156,false,false
PRJ-0000026,COMP-0139,Supply Chain Reconciliation System,2023-06-03,2025-12-19,On Hold,AI + RPA,97,1131645.12,909955.84,80.41,Operations,EY,Netherlands,Technology,17789,false,true
PRJ-0000027,COMP-0169,HR Onboarding Framework,2021-01-12,2022-10-11,Failed,Intelligent Process Automation,68,1831558.75,-207515.61,-11.33,Legal,Accenture,Japan,Pharma,21517,true,false
PRJ-0000028,COMP-0003,Employee Offboarding System,2022-12-02,2022-02-24,Failed,Robotic Process Automation,41,1792875.76,-575513.12,-32.1,Customer Service,IBM,Japan,Energy,13618,false,false
PRJ-0000029,COMP-0061,Returns Processing Module,2021-11-18,2022-09-22,In Progress,Intelligent Process Automation,26,1551698.15,4026811.87,259.51,Marketing,Cognizant,France,Technology,15491,true,false
PRJ-0000030,COMP-0096,Report Generation Solution,2023-05-09,2023-06-03,Completed,Intelligent Process Automation,88,1586167.67,6188274.55,390.14,Marketing,Deloitte,India,Pharma,1024,false,true
PRJ-0000031,COMP-0164,Accounts Payable Framework,2023-08-27,2024-09-16,On Hold,Digital Process Automation,57,385673.26,621859.56,161.24,Operations,Infosys,Japan,Logistics,12827,false,false
PRJ-0000032,COMP-0130,Employee Offboarding Engine,2021-07-02,2021-03-24,On Hold,Intelligent Process Automation,79,1135584.88,3226083.09,284.09,Supply Chain,EY,Japan,Technology,10166,true,false
PRJ-0000033,COMP-0127,Risk Assessment Solution,2022-08-27,2022-07-26,Failed,Cognitive Automation,31,1246100.24,-239126.64,-19.19,Marketing,Infosys,Brazil,Energy,22031,true,true
PRJ-0000034,COMP-0200,Returns Processing Platform,2022-11-12,2023-08-17,Completed,Digital Process Automation,10,1824374.13,5915168.24,324.23,Supply Chain,Infosys,Netherlands,Retail,14014,true,true
PRJ-0000035,COMP-0003,Contract Management Pipeline,2023-10-11,2025-08-27,In Progress,AI + RPA,14,1771212.99,2232968.22,126.07,Compliance,Deloitte,Germany,Healthcare,9474,false,true
PRJ-0000036,COMP-0194,Inventory Management Engine,2021-11-21,2021-10-04,On Hold,Intelligent Process Automation,79,1140548.96,420748.51,36.89,Operations,Tata Consultancy Services,Poland,Logistics,24957,false,true
PRJ-0000037,COMP-0120,Document Processing Module,2020-06-03,2021-01-09,Planning,Cognitive Automation,55,792604.54,1890678.87,238.54,Marketing,BCG,Poland,Insurance,12805,true,false
PRJ-0000038,COMP-0061,Email Automation Pipeline,2022-09-15,2023-08-27,Planning,AI + RPA,70,465098.34,1192744.69,256.45,Sales,Wipro,Netherlands,Telecom,23860,true,true
PRJ-0000039,COMP-0161,Procure to Pay Engine,2023-05-17,2023-03-21,On Hold,Intelligent Process Automation,41,613434.3,1514139.88,246.83,Supply Chain,KPMG,Australia,Healthcare,23580,false,false
PRJ-0000040,COMP-0160,Customer Service Bot Engine,2022-10-16,2023-08-09,Planning,Intelligent Process Automation,61,1254874.78,739748.68,58.95,Compliance,Deloitte,Japan,Pharma,17739,true,true
PRJ-0000041,COMP-0064,Data Validation Bot,2020-06-07,2022-08-26,Completed,Cognitive Automation,30,1229718.67,533451.96,43.38,Supply Chain,Accenture,Japan,Technology,10880,false,true
PRJ-0000042,COMP-0169,Loan Processing Solution,2023-08-26,2025-01-08,Failed,Digital Process Automation,23,278011.24,-39143.98,-14.08,Supply Chain,Accenture,Canada,Energy,18029,true,true
PRJ-0000043,COMP-0141,Data Migration Module,2023-10-17,2025-06-10,Planning,Intelligent Process Automation,10,295557.22,153571.53,51.96,Human Resources,KPMG,Germany,Healthcare,5437,true,false
PRJ-0000044,COMP-0030,Audit Trail Framework,2021-07-23,2021-04-24,On Hold,Intelligent Process Automation,59,1821771.87,4008080.29,220.01,Sales,BCG,Australia,Technology,678,false,true
PRJ-0000045,COMP-0151,Payroll Automation Solution,2023-01-01,2024-07-11,Failed,Intelligent Process Automation,25,574827.5,8220.03,1.43,Marketing,IBM,Poland,Pharma,21833,false,false
PRJ-0000046,COMP-0134,Invoice Processing System,2022-08-13,2022-02-11,On Hold,Digital Process Automation,69,868416.58,1909127.01,219.84,Operations,KPMG,France,Pharma,15535,false,true
PRJ-0000047,COMP-0198,IT Ticket Classification Bot,2023-05-26,2025-03-22,In Progress,AI + RPA,50,1511850.04,5903623.22,390.49,Customer Service,BCG,France,Manufacturing,11934,false,true
PRJ-0000048,COMP-0100,Claims Processing System,2020-08-11,2022-03-18,Planning,AI + RPA,41,1482270.02,5797750.96,391.14,Operations,Wipro,Singapore,Insurance,24015,true,false
PRJ-0000049,COMP-0016,Purchase Order Processing Engine,2023-11-22,2024-06-25,Planning,AI + RPA,30,719559.5,1120570.01,155.73,Human Resources,BCG,Singapore,Retail,13185,true,false
PRJ-0000050,COMP-0080,Loan Processing Module,2020-09-07,2022-09-27,Failed,Digital Process Automation,15,1360794.12,-1632.95,-0.12,Finance,Tata Consultancy Services,India,Pharma,16514,false,false
PRJ-0000051,COMP-0023,Customer Onboarding KYC Solution,2022-01-24,2022-03-11,Planning,Intelligent Process Automation,17,1695786.4,1453288.94,85.7,Sales,Infosys,Brazil,Logistics,21303,false,true
PRJ-0000052,COMP-0116,Master Data Management Platform,2021-04-06,2023-12-28,Completed,Intelligent Process Automation,36,562475.24,1471828.96,261.67,Marketing,PwC,Australia,Healthcare,4635,false,true
PRJ-0000053,COMP-0132,Compliance Monitoring Bot,2021-10-21,2021-05-25,Planning,Digital Process Automation,51,798570.64,1633795.67,204.59,Human Resources,BCG,United States,Telecom,17668,false,true
PRJ-0000054,COMP-0073,Data Migration Module,2021-08-24,2023-06-11,Failed,Digital Process Automation,9,766081.15,32635.06,4.26,Legal,IBM,United Kingdom,Manufacturing,18465,false,false
PRJ-0000055,COMP-0054,Tax Filing Framework,2023-10-16,2023-03-17,Completed,AI + RPA,84,1894618.18,4993266.21,263.55,Marketing,BCG,Netherlands,Logistics,7029,true,true
PRJ-0000056,COMP-0158,Report Generation Pipeline,2020-03-24,2020-07-07,On Hold,Robotic Process Automation,39,1606239.17,3880995.08,241.62,Finance,Capgemini,United Kingdom,Pharma,9711,false,false
PRJ-0000057,COMP-0147,Inventory Management System,2022-10-13,2024-04-17,In Progress,Robotic Process Automation,13,1912290.88,808707.81,42.29,Marketing,Deloitte,Brazil,Insurance,20595,true,true
PRJ-0000058,COMP-0025,Customer Service Bot Pipeline,2020-08-02,2021-11-08,Failed,AI + RPA,10,796191.89,-76752.9,-9.64,Finance,Wipro,Netherlands,Banking,7728,true,false
PRJ-0000059,COMP-0051,Workflow Orchestration Module,2023-01-05,2023-12-11,In Progress,Cognitive Automation,38,801909.65,604639.88,75.4,Customer Service,IBM,India,Healthcare,3432,false,true
PRJ-0000060,COMP-0080,Customer Service Bot Framework,2022-07-18,2024-03-02,Failed,Intelligent Process Automation,33,1602813.69,-384675.29,-24.0,Legal,Tata Consultancy Services,Australia,Telecom,16974,false,false
PRJ-0000061,COMP-0158,Credit Risk Analysis Bot,2020-04-07,2020-03-18,Planning,Cognitive Automation,85,412331.03,604353.59,146.57,Supply Chain,Cognizant,Netherlands,Manufacturing,7327,false,false
PRJ-0000062,COMP-0112,Returns Processing Solution,2022-09-25,2023-04-15,Planning,AI + RPA,21,1220185.08,348484.86,28.56,IT,Capgemini,Brazil,Technology,7356,true,false
PRJ-0000063,COMP-0115,Risk Assessment Pipeline,2022-07-08,2024-11-26,In Progress,Digital Process Automation,39,446395.42,1669474.23,373.99,Compliance,Deloitte,Brazil,Banking,22651,true,false
PRJ-0000064,COMP-0067,Regulatory Reporting Tool,2022-04-13,2022-05-22,In Progress,Cognitive Automation,56,1323560.18,1080025.11,81.6,Sales,Capgemini,Poland,Pharma,2222,true,true
PRJ-0000065,COMP-0046,Report Generation Tool,2021-03-23,2022-01-14,Planning,Robotic Process Automation,95,1721262.76,202592.63,11.77,Finance,EY,India,Healthcare,15066,true,false
PRJ-0000066,COMP-0194,Returns Processing Engine,2021-02-28,2023-01-02,Planning,Robotic Process Automation,49,1267116.44,419922.39,33.14,IT,Wipro,Germany,Telecom,20442,true,false
PRJ-0000067,COMP-0178,Credit Risk Analysis Bot,2022-02-22,2024-08-05,In Progress,AI + RPA,90,704274.5,1586730.45,225.3,Marketing,Deloitte,Poland,Banking,17304,true,true
PRJ-0000068,COMP-0189,Order Management Automation,2023-07-12,2024-12-14,In Progress,Robotic Process Automation,55,1534532.75,4267842.48,278.12,Marketing,IBM,India,Technology,15680,false,false
PRJ-0000069,COMP-0104,Invoice Processing Module,2021-12-27,2021-09-09,Planning,Digital Process Automation,37,1401649.36,3584017.41,255.7,Customer Service,Cognizant,Japan,Banking,20177,false,true
PRJ-0000070,COMP-0147,Supply Chain Reconciliation Automation,2022-08-03,2022-06-08,On Hold,Intelligent Process Automation,72,1534278.86,669405.87,43.63,Marketing,Infosys,Singapore,Manufacturing,7177,false,true
PRJ-0000071,COMP-0116,Billing Automation Framework,2021-10-23,2022-05-10,In Progress,Digital Process Automation,7,790154.06,3059002.43,387.14,Legal,PwC,Germany,Telecom,23349,true,false
PRJ-0000072,COMP-0012,Loan Processing Module,2020-05-16,2022-01-22,Completed,Intelligent Process Automation,65,633015.53,160406.14,25.34,Supply Chain,Accenture,France,Energy,9779,true,true
PRJ-0000073,COMP-0076,Audit Trail Module,2021-11-13,2021-06-25,On Hold,Cognitive Automation,72,767622.05,2934619.1,382.3,Customer Service,KPMG,Brazil,Technology,16071,false,true
PRJ-0000074,COMP-0195,Regulatory Reporting Module,2020-09-20,2020-12-10,Failed,Digital Process Automation,98,158514.26,-16897.62,-10.66,Sales,Tata Consultancy Services,Brazil,Pharma,4722,true,true
PRJ-0000075,COMP-0048,Loan Processing Automation,2022-05-01,2024-06-10,Planning,Digital Process Automation,92,780332.53,1363709.13,174.76,Legal,Infosys,Australia,Pharma,18746,false,true
PRJ-0000076,COMP-0164,Sales Order Processing Framework,2021-06-18,2022-09-10,Failed,AI + RPA,43,1348180.04,-326529.21,-24.22,Human Resources,Tata Consultancy Services,United Kingdom,Banking,4997,false,false
PRJ-0000077,COMP-0158,IT Service Management Engine,2023-01-18,2024-06-28,Planning,Robotic Process Automation,99,851728.41,1295904.78,152.15,Finance,Wipro,Brazil,Logistics,9635,true,false
PRJ-0000078,COMP-0136,Customer Service Bot Bot,2023-01-23,2024-02-01,Failed,Intelligent Process Automation,45,920887.09,188229.32,20.44,Finance,Cognizant,Germany,Technology,17362,false,true
PRJ-0000079,COMP-0075,Document Processing Tool,2020-06-16,2022-11-06,Planning,Robotic Process Automation,70,380498.76,1043403.7,274.22,Finance,Accenture,Singapore,Manufacturing,13591,false,true
PRJ-0000080,COMP-0104,Asset Tracking Tool,2022-04-22,2024-06-04,On Hold,Intelligent Process Automation,57,1877893.12,2034133.83,108.32,Customer Service,Capgemini,Brazil,Banking,3818,true,false
PRJ-0000081,COMP-0141,Customer Onboarding KYC Tool,2021-02-10,2021-02-10,In Progress,AI + RPA,10,1105376.31,3118377.11,282.11,Compliance,BCG,Australia,Pharma,17138,false,true
PRJ-0000082,COMP-0092,Sales Order Processing Engine,2023-08-16,2023-10-13,On Hold,Cognitive Automation,94,1348756.66,2172846.98,161.1,Supply Chain,EY,Brazil,Telecom,24664,true,false
PRJ-0000083,COMP-0137,Report Generation Platform,2022-10-11,2023-03-20,On Hold,Intelligent Process Automation,51,134424.89,257840.38,191.81,Customer Service,Wipro,Poland,Technology,23096,false,false
PRJ-0000084,COMP-0085,Billing Automation Platform,2022-06-08,2024-04-16,On Hold,Intelligent Process Automation,61,885874.14,1775114.6,200.38,Compliance,Wipro,Netherlands,Manufacturing,7552,false,true
PRJ-0000085,COMP-0195,Payroll Automation Module,2020-04-03,2022-11-27,Failed,Cognitive Automation,79,1219711.47,-506790.12,-41.55,Legal,Infosys,Japan,Energy,9900,true,true
PRJ-0000086,COMP-0043,Financial Reconciliation Engine,2022-06-17,2024-09-08,Planning,Cognitive Automation,47,1992898.22,448003.52,22.48,Compliance,Deloitte,United Kingdom,Logistics,12372,true,true
PRJ-0000087,COMP-0127,Document Processing System,2022-06-08,2023-07-05,Failed,Cognitive Automation,42,502634.41,50162.91,9.98,Customer Service,Capgemini,Poland,Banking,8503,false,false
PRJ-0000088,COMP-0073,Master Data Management Framework,2022-07-13,2024-06-04,Failed,Digital Process Automation,37,865251.39,-280081.87,-32.37,Supply Chain,PwC,United States,Energy,12353,false,true
PRJ-0000089,COMP-0024,Tax Filing Bot,2023-12-11,2023-12-02,On Hold,Digital Process Automation,90,1788359.1,6328645.18,353.88,Legal,EY,Australia,Energy,23811,true,false
PRJ-0000090,COMP-0087,Quality Assurance Engine,2022-03-18,2022-08-09,In Progress,Intelligent Process Automation,64,1821571.42,4960867.61,272.34,Human Resources,Tata Consultancy Services,United States,Telecom,14661,false,true
PRJ-0000091,COMP-0031,Report Generation Automation,2022-02-11,2024-04-18,On Hold,AI + RPA,75,714071.48,2631067.78,368.46,Customer Service,EY,Germany,Banking,20656,true,true
PRJ-0000092,COMP-0064,Workflow Orchestration Platform,2021-08-11,2022-07-03,Planning,Robotic Process Automation,53,565415.4,1250925.03,221.24,Marketing,Wipro,Poland,Pharma,8779,false,true
PRJ-0000093,COMP-0144,Supply Chain Reconciliation Tool,2020-10-10,2022-09-21,Planning,Robotic Process Automation,15,844827.16,919171.95,108.8,Customer Service,KPMG,India,Retail,5776,false,false
PRJ-0000094,COMP-0105,Financial Reconciliation Automation,2022-09-25,2024-01-06,Failed,Intelligent Process Automation,14,701927.59,-299793.27,-42.71,Marketing,Deloitte,United States,Healthcare,10558,false,false
PRJ-0000095,COMP-0042,Fraud Detection Framework,2021-09-12,2023-10-17,Failed,Robotic Process Automation,84,1092994.55,190290.35,17.41,Finance,Accenture,United States,Energy,19616,false,true
PRJ-0000096,COMP-0043,Claims Processing Automation,2022-06-11,2024-05-20,In Progress,Digital Process Automation,31,1094829.65,1760705.04,160.82,Customer Service,Deloitte,Poland,Retail,24782,false,true
PRJ-0000097,COMP-0177,Claims Processing Solution,2020-04-08,2021-05-03,On Hold,Cognitive Automation,68,1254879.6,3475765.52,276.98,Compliance,EY,Australia,Manufacturing,4164,false,false
PRJ-0000098,COMP-0048,Returns Processing Engine,2021-02-14,2021-10-10,On Hold,Intelligent Process Automation,76,1972043.03,4181914.45,212.06,Operations,PwC,Singapore,Healthcare,3392,true,false
PRJ-0000099,COMP-0003,Procure to Pay System,2023-07-02,2025-02-10,Planning,Intelligent Process Automation,100,844663.83,3074491.87,363.99,Compliance,KPMG,Canada,Banking,1488,true,false
PRJ-0000100,COMP-0114,Tax Filing Bot,2022-01-28,2024-02-09,Planning,Cognitive Automation,82,1543711.58,4309579.62,279.17,Supply Chain,BCG,Singapore,Banking,12510,true,false
PRJ-0000101,COMP-0068,Inventory Management Automation,2021-01-02,2023-11-18,Failed,Intelligent Process Automation,66,1456420.29,71655.88,4.92,Customer Service,Infosys,Brazil,Banking,18864,true,true
PRJ-0000102,COMP-0159,Credit Risk Analysis Engine,2023-07-23,2025-04-25,Failed,Intelligent Process Automation,18,1579870.88,-672235.06,-42.55,Customer Service,Cognizant,India,Telecom,1831,true,true
PRJ-0000103,COMP-0187,Vendor Management Module,2023-06-04,2023-12-27,Failed,Digital Process Automation,64,1774026.39,498324.01,28.09,Operations,Infosys,Poland,Pharma,15078,false,false
PRJ-0000104,COMP-0171,Invoice Processing Solution,2022-12-15,2023-05-15,On Hold,Intelligent Process Automation,47,512418.51,646518.43,126.17,Sales,BCG,Canada,Retail,4126,true,false
PRJ-0000105,COMP-0154,Order Management Engine,2020-03-14,2021-11-13,On Hold,Cognitive Automation,75,857747.36,274736.48,32.03,Finance,BCG,Japan,Healthcare,9683,true,true
PRJ-0000106,COMP-0024,Credit Risk Analysis Automation,2021-10-24,2021-01-02,On Hold,Robotic Process Automation,36,1606657.79,6343406.29,394.82,IT,Tata Consultancy Services,United States,Energy,5070,true,true
PRJ-0000107,COMP-0113,Data Migration Framework,2023-10-14,2025-12-28,Completed,Robotic Process Automation,97,391981.28,456344.61,116.42,Legal,Accenture,India,Retail,22608,true,true
PRJ-0000108,COMP-0090,Customer Onboarding KYC Engine,2023-01-19,2024-08-17,Planning,Robotic Process Automation,46,1461564.4,4979257.6,340.68,Human Resources,Accenture,Brazil,Pharma,4732,true,false
PRJ-0000109,COMP-0037,Email Automation Framework,2022-07-22,2024-09-15,Planning,Digital Process Automation,38,1687650.13,2332501.24,138.21,IT,PwC,Brazil,Healthcare,7467,true,false
PRJ-0000110,COMP-0189,Supply Chain Reconciliation Automation,2020-12-07,2021-06-01,Planning,Intelligent Process Automation,21,1845307.07,6501016.81,352.3,Marketing,Cognizant,Singapore,Manufacturing,16638,true,true
PRJ-0000111,COMP-0143,Vendor Management Bot,2023-12-06,2025-12-01,Completed,Intelligent Process Automation,53,1883025.57,2966141.88,157.52,Human Resources,IBM,United States,Manufacturing,23584,true,true
PRJ-0000112,COMP-0022,Supply Chain Reconciliation Solution,2022-09-16,2023-08-05,Failed,Robotic Process Automation,22,1924959.63,-131859.73,-6.85,Customer Service,Tata Consultancy Services,United States,Pharma,20187,false,true
PRJ-0000113,COMP-0082,Email Automation Tool,2023-10-16,2025-09-05,Failed,Intelligent Process Automation,95,1810425.52,443916.34,24.52,Sales,Accenture,Brazil,Pharma,22642,false,true
PRJ-0000114,COMP-0096,Payroll Automation Framework,2020-07-03,2022-01-05,On Hold,Cognitive Automation,96,1784895.06,3239763.02,181.51,Marketing,BCG,Australia,Pharma,22864,true,false
PRJ-0000115,COMP-0113,Customer Service Bot Framework,2021-03-07,2023-01-22,Failed,Intelligent Process Automation,38,1617840.74,-732720.07,-45.29,Human Resources,Capgemini,Singapore,Retail,22646,false,false
PRJ-0000116,COMP-0148,Financial Reconciliation Framework,2023-10-08,2025-09-27,Failed,Digital Process Automation,42,1165180.12,274399.92,23.55,Marketing,IBM,Brazil,Banking,8178,false,true
PRJ-0000117,COMP-0093,Trade Reconciliation Tool,2022-12-15,2023-12-03,On Hold,Digital Process Automation,60,1461042.73,4827431.28,330.41,Sales,Capgemini,Singapore,Retail,14373,true,true
PRJ-0000118,COMP-0186,Credit Risk Analysis Tool,2022-06-09,2022-10-24,Failed,Cognitive Automation,20,492127.59,57431.29,11.67,Operations,EY,United States,Logistics,5376,true,false
PRJ-0000119,COMP-0085,Returns Processing Automation,2021-12-28,2021-06-18,Planning,Digital Process Automation,56,527356.95,2020990.04,383.23,Operations,IBM,Australia,Logistics,9803,true,true
PRJ-0000120,COMP-0055,Risk Assessment Tool,2022-09-07,2022-09-04,On Hold,Intelligent Process Automation,78,1407310.2,4564751.36,324.36,Marketing,BCG,Australia,Pharma,15689,true,true
PRJ-0000121,COMP-0033,Financial Reconciliation System,2021-09-19,2021-04-01,On Hold,Robotic Process Automation,19,486961.67,1543571.1,316.98,Human Resources,PwC,Netherlands,Technology,3560,true,true
PRJ-0000122,COMP-0140,Workflow Orchestration Bot,2021-06-02,2022-03-03,In Progress,AI + RPA,85,1131905.13,2177106.33,192.34,Legal,KPMG,Poland,Pharma,3113,false,true
PRJ-0000123,COMP-0050,Report Generation Solution,2023-07-03,2025-01-18,Failed,AI + RPA,89,1216533.37,144524.16,11.88,Supply Chain,IBM,France,Energy,19452,false,false
PRJ-0000124,COMP-0116,Report Generation Pipeline,2023-09-03,2024-01-20,On Hold,Digital Process Automation,63,950607.44,1528101.46,160.75,Human Resources,PwC,Australia,Banking,22177,false,false
PRJ-0000125,COMP-0141,Supply Chain Reconciliation Bot,2020-04-25,2020-05-04,Planning,Digital Process Automation,98,1664010.44,2874245.23,172.73,Marketing,IBM,Canada,Telecom,14145,true,true
PRJ-0000126,COMP-0015,Audit Trail Bot,2022-01-18,2024-05-15,In Progress,AI + RPA,80,298565.53,625733.64,209.58,Sales,Capgemini,Singapore,Telecom,22690,true,false
PRJ-0000127,COMP-0073,Invoice Processing Module,2021-09-25,2021-12-28,Planning,Digital Process Automation,31,648391.62,1178127.57,181.7,Legal,EY,Canada,Telecom,24808,false,true
PRJ-0000128,COMP-0175,Purchase Order Processing Solution,2023-04-10,2024-10-26,Planning,Robotic Process Automation,34,242709.88,693033.79,285.54,Marketing,Cognizant,United States,Technology,17080,true,true
PRJ-0000129,COMP-0167,Credit Risk Analysis System,2021-11-04,2021-07-18,Completed,Cognitive Automation,74,481684.72,689628.01,143.17,IT,BCG,United States,Manufacturing,11420,true,false
PRJ-0000130,COMP-0180,Credit Risk Analysis Bot,2020-01-09,2022-02-26,Completed,Robotic Process Automation,28,734610.87,2744359.29,373.58,Compliance,KPMG,Poland,Banking,11018,true,false
PRJ-0000131,COMP-0119,Accounts Payable Automation,2020-01-17,2022-03-09,In Progress,Intelligent Process Automation,69,1061090.25,3373630.34,317.94,Finance,Tata Consultancy Services,Netherlands,Healthcare,3980,false,false
PRJ-0000132,COMP-0107,Employee Offboarding Module,2023-01-16,2024-05-18,On Hold,Robotic Process Automation,51,1269281.69,1202390.54,94.73,Compliance,KPMG,India,Insurance,18561,false,false
PRJ-0000133,COMP-0016,Accounts Payable Platform,2021-06-15,2021-09-22,Planning,Robotic Process Automation,26,1563578.37,2065487.03,132.1,Finance,IBM,Australia,Telecom,18907,true,true
PRJ-0000134,COMP-0135,Purchase Order Processing Bot,2023-02-05,2023-01-10,Completed,Intelligent Process Automation,42,594986.35,99005.73,16.64,Supply Chain,BCG,Brazil,Insurance,20797,false,false
PRJ-0000135,COMP-0102,Returns Processing Module,2022-02-17,2022-12-12,Failed,Cognitive Automation,10,769826.12,-538.88,-0.07,Operations,Infosys,Germany,Energy,763,false,false
PRJ-0000136,COMP-0029,HR Onboarding Solution,2022-11-27,2024-01-23,Failed,AI + RPA,13,1395873.65,323144.75,23.15,Sales,Infosys,United Kingdom,Retail,24452,true,true
PRJ-0000137,COMP-0123,Returns Processing Engine,2020-12-26,2020-08-09,Failed,Robotic Process Automation,78,1437984.44,-32498.45,-2.26,Legal,Accenture,Japan,Technology,14567,true,false
PRJ-0000138,COMP-0034,Returns Processing Solution,2023-07-18,2024-05-07,In Progress,Cognitive Automation,37,1781739.58,6808739.63,382.14,Legal,IBM,Brazil,Healthcare,8470,true,true
PRJ-0000139,COMP-0077,Supply Chain Reconciliation Solution,2022-12-11,2024-09-07,In Progress,Digital Process Automation,67,1088818.57,2677404.86,245.9,Supply Chain,PwC,United States,Telecom,10921,false,true
PRJ-0000140,COMP-0176,Inventory Management Framework,2022-01-12,2024-12-12,Failed,AI + RPA,83,1988121.01,-847535.99,-42.63,Legal,PwC,Brazil,Manufacturing,5955,true,false
